,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,mstype
29,39,44,37,24,40,61,44,52,49,47,40,45,54,21,42,46,30,44,34,52,45,49,65,39,51,57,64,58,53,18,58,69,53,66,55,49,31,32,71,59,66,57,55,28,32,37,43,42,18,32,60,46,48,48,44,40,36,57,21,41,40,33,43,34,47,44,46,64,32,54,57,62,59,48,19,58,0
30,40,43,38,20,40,60,44,53,49,45,41,45,56,21,39,45,30,44,36,46,43,49,64,41,51,57,62,59,51,20,59,72,55,68,57,47,31,34,71,57,67,58,49,27,35,35,43,42,14,33,57,46,49,48,44,40,40,54,27,38,40,34,43,35,48,39,44,65,33,53,58,60,61,49,18,59,0
31,38,44,38,22,40,61,43,55,47,48,39,42,57,22,44,43,30,44,36,50,44,50,65,37,51,56,64,61,53,20,58,71,56,68,58,51,32,34,70,61,68,60,54,28,37,35,44,43,18,34,60,46,52,47,43,40,41,56,24,41,40,35,43,35,49,43,47,66,35,53,57,65,59,48,20,57,0
32,40,44,35,19,41,60,43,51,48,45,40,40,54,24,40,46,30,44,35,49,43,48,65,35,50,57,62,57,52,20,56,69,52,66,53,47,30,27,72,57,64,55,51,27,32,36,43,40,16,33,59,45,49,47,41,40,39,56,23,40,40,32,43,34,49,41,47,65,27,53,56,63,58,48,16,58,0
33,39,44,38,22,41,59,44,52,46,47,40,44,56,24,43,46,31,44,34,50,44,49,65,36,51,57,63,61,53,19,56,72,55,69,57,50,27,36,72,61,68,60,52,28,37,36,43,42,17,32,60,46,51,48,44,39,42,56,24,40,40,36,43,34,49,38,47,66,37,54,57,65,60,47,18,59,0
34,39,44,37,22,37,60,42,55,48,47,39,41,56,22,44,46,31,44,36,49,44,50,63,38,51,57,62,57,53,18,60,70,55,66,58,44,31,32,70,56,67,57,49,27,30,37,44,42,18,32,60,46,52,46,45,37,41,56,23,41,41,35,42,34,46,43,46,66,34,53,58,64,61,48,15,58,0
35,35,43,37,21,41,61,44,55,49,44,41,43,54,23,41,45,29,44,36,52,44,50,65,39,51,57,64,58,53,19,59,72,52,69,55,48,31,32,71,58,68,57,53,28,32,35,43,40,16,34,59,46,51,46,41,39,42,56,27,42,41,36,43,35,45,40,45,66,34,53,58,61,60,48,18,59,0
36,38,43,37,21,36,61,43,54,49,46,41,40,53,18,41,43,30,42,36,48,43,49,64,34,49,54,63,57,53,18,56,69,50,66,54,43,29,29,67,53,60,53,48,28,27,36,44,44,18,30,60,46,48,45,44,40,37,55,26,40,41,35,43,34,47,41,44,64,36,52,57,64,57,50,20,56,0
37,40,43,35,21,40,58,40,55,47,46,41,44,53,22,42,46,26,42,36,51,45,46,64,39,51,57,62,57,51,18,58,63,53,65,54,42,26,34,71,55,63,55,42,22,27,36,44,42,16,34,58,46,52,47,42,38,31,56,25,40,41,32,43,31,47,45,47,64,32,52,58,63,58,50,19,59,0
38,39,43,36,21,39,60,40,54,49,45,38,41,52,20,39,45,30,44,35,51,43,49,63,40,50,55,63,56,52,19,57,69,51,68,55,46,32,30,71,56,66,57,49,30,31,37,44,38,18,32,58,46,48,45,42,40,36,56,15,41,39,34,42,33,46,41,44,64,32,49,56,62,59,49,17,58,0
